id,created_on,operation,property_type,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,rooms,expenses,description,title,lat,lon,housenumber,street,state,city,bathrooms
8e2212e14cd5bb683c35ba3af6db608334f07f3e,2017-11-18,rent,Departamento,-34.5975945107,-58.3797418333,1600.0,54,50.0,2,,"Torre Bellini Esmeralda a estrenar amoblado y equipado.   Impactantes vistas, todo luz y sol. Dpto de 2 ambientes con balcón, cocina Integrada y baño completo. Aire Acondicionado Split Frio/Calor - Agua Caliente Central.  Cocina eléctrica. Posibilidad De Alquiler Cochera. El valor del alquiler no es paquete. El locatario se hace cargo de expensas, luz y servicio de cable/internet.Cuatro Ascensores.Tres subsuelos de cocheras.  Amenities: Piscina, solarium, vestuario, gym, sauna, sala de relax,  SUM, laundry, carwash, parking para autos y bicicletas.Excelente ubicación: dos cuadras de Av. 9 de Julio y a una cuadra y media de avenidas Santa Fe y Córdoba. Galerías Pacifico. Plaza San Martín. Teatro Colón.Accesibilidad a todas las líneas de colectivo, metrobus y subte ""C"". ",TORRE BELLINI ESMERALDA A ESTRENAR PISO 41 - 2 AMB ,-34.650642,-58.75201,351,Martin Luther King,Buenos Aires,Paso del Rey,2
803c0d94161b3d5a84a8e13c07c9ee0f068ffe82,2017-11-18,rent,Departamento,-34.5975945107,-58.3797418333,1600.0,54,50.0,2,,"Torre Bellini Esmeralda a estrenar, amoblado y equipado.  Impactantes vistas, todo luz y sol. Dpto de 2 ambientes con balcón, cocina Integrada y baño completo. Aire Acondicionado Split Frio/Calor - Agua Caliente Central.  Cocina eléctrica. Posibilidad De Alquiler Cochera.El valor del alquiler no es paquete. El locatario se hace cargo de expensas, luz y servicio de cable/internet.Cuatro Ascensores.Tres subsuelos de cocheras.  Amenities: Piscina, solarium, vestuario, gym, sauna, sala de relax,  SUM, laundry, carwash, parking para autos y bicicletas.Excelente ubicación: dos cuadras de Av. 9 de Julio y a una cuadra y media de avenidas Santa Fe y Córdoba. Galerías Pacifico. Plaza San Martín. Teatro Colón.Accesibilidad a todas las líneas de colectivo, metrobus y subte ""C"". “Las descripciones arquitectónicas y funcionales y fotos son orientativas.  Los valores de expensas, impuestos y servicios y medidas de este inmueble son aproximados.  Los valores y medidas exactas surgirían de  las facturas, títulos y planos legales del inmueble. Los precios indicados podrán modificarse sin previo aviso.""“Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes”.-“Se encuentra prohibido cobrar comisiones inmobiliarias y gastos de gestoría de informes a los inquilinos que sean personas físicas. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato”.",TORRE BELLINI ESMERALDA A ESTRENAR PISO 41 - 2 AMB ,-34.49533979591837,-58.48354040816327,349,Debenedetti,Buenos Aires,Vicente López,2
65ec75fcb898382ee9295f461416875732f906c3,2017-10-31,rent,Departamento,-34.5928625,-58.3785675,3200.0,256,256.0,8,,"Edificio de estilo Francés de excelente categoría y construcción, de seis exclusivos pisos, que cuenta con muy buen mantenimiento y con una elegante entrada y una buena planta y distribución con balcones alfrente.Posee Pallier privado, Hall de Recepción con Chimenea de mármol francés original, Amplia Sala de estar, Living y Escritorio al frente y Comedor con amplio vitraux original y toilette de recepción. Con un amplio hall de distribución se accede a los dormitorios, posee cuatro dormitorios, el principal en suite con vestidor. Y tres dormitorios más con muy buenos placards de obra y un baño completo, de buen tamaño y con revestimientos de pisos y paredes de mármol.Cocina amplia con comedor diario y luego una  área de servicio con baño de servicio. También cuenta con una habitación de chofer o baulera en la azotea del edificio. El edificio cuenta con un quincho en la terraza de uso común.Los pisos de la recepción y pasillos son de mármol en damero blanco y negro y los pisos de Salas de estar, Escritorio y Comedor son de roble de eslavonia al igual que los dormitorios todos en buen estado. Techos altos con detalles de molduras y vitraux originales en impecable estado. Cochera y baulera en planta baja. Se alquila con muebles. Ubicado en el Barrio de Retiro, a metros del Palacio Estrugamou y Plaza San Martín, zona residencial con edificios de gran categoría, cercana al Palacio San Martín, Palacio Paz, Palacio Saint, a la sede de la Cancillería Argentina y al emblemático Edificio Kavanagh y a la tradicional calle Florida y la Torre de los Ingleses.Condiciones de alquiler:Mes de depósitoPago del mes por adelantadoIncremento semestral Garantía de propiedad Comprobante de Ingresos",Juncal 800. Elegante Piso Francés Amoblado con cochera en Alquiler,-34.5723,-58.421,3728,Del Libertador Av.,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
87b57fb6f757de83d2df2986c45763f5da03092d,2017-09-27,rent,Departamento,-34.587044,-58.4086948,3200.0,200,186.0,4,,"Alquiler de Departamento 4 AMBIENTES en Palermo, Capital FederalPiso con increíble vista al río y a la ciudad. Excelente estado.Living con salida a gran balcón corrido, comedor separado. Escritorio o playroom. Cocina separada muy luminosa con breakfast. Lavadero cómodo y dos dependencias de servicio con un baño. Tres dormitorios, principal en suite con salida a balcón. Segundo baño completo + toilette de recepción. El departamento cuenta con muchos espacios de guardado y doble circulación. Edificio con gimnasio y vigilancia.El valor del alquiler incluye los gastos de expensas y ABL + IVALUCIANO CAZENAVEInversiones Inmobiliarias / WhatsApp: 15- (Beatriz)Ayacucho 1394.  -  - LUCIANO CAZENAVE INVERSIONES INMOBILIARIAS",DEPARTAMENTO EN ALQUILER,-34.5725,-58.4205,3208,Godoy Cruz,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
7401602e3c6ca33be7340cc36af87e822c9df345,2017-09-15,rent,Departamento,-34.5552473957,-58.4582766955,3200.0,137,137.0,4,13000.0,"Alquiler de Departamento 3 Dormitorios en Belgrano, Capital FederalMirabilia BelgranoPiso alto con excelente luz y vista. Living comedor. 3 dormitorios. 1 en suite con vestidor. 2 baños completo. Toilette. Cocina con office. Lavadero y dependencia. 2 cocheras fijas. Vigilancia 24hs. Pileta, gimnasio, salón de fiestas, parrilla y juegos para niños.Tesler PropiedadesTel: (54-11) 4781- -  - TESLER PROPIEDADES",DEPARTAMENTO EN ALQUILER,-34.5713,-58.4233,3898,Del Libertador Av.,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
894e3b33d3669a5879715d319ff1d647f7efc748,2017-08-02,rent,Departamento,-34.5504565,-58.44653,3200.0,190,180.0,5,,"Alquiler Temporal de 5 AMBIENTES en Belgrano, Capital FederalCondiciones de ingreso de Alquiler Temporario:Contratos de 6 meses: 1 mes de alquiler, 1 de depósito y 1 de gastos administrativos.Contratos de 5, 4 y 3 meses: 1 mes de alquiler, 1 de depósito (que se devuelve, cuando se finaliza el contrato, al inquilino) y 20% de gastos administrativos.Contratos de 1 y 2 meses: 1 mes de alquiler, 1 de depósito (que se devuelve, cuando se finaliza el contrato, al inquilino) y 25% de gastos administrativos.El valor mensual es paquete e incluye los 7 servicios: expensas, cable, Internet, teléfono, luz, gas, agua y ABL. La luz y el gas siempre con tope de consumo $250 bimestral. El excedente lo paga el inquilino. Nota importante: en los alquileres de 3 o 4 integrantes, la limpieza cada 15 días es obligatoria para el inquilino y queda a su cargo.Las medidas son aproximadas, según los datos proporcionados por el propietario. Consultar por disponibilidad.- Según lo estipulado por el nuevo Código Civil, los contratos serán por 3 meses con renovación -Móvil: Lunes a viernes de 9 hasta 20 hs y sábados de 10 hasta 16 hs+54 9 11  Martillero responsable Horacio A. Rameri Matricula CUCICBA N° 6049",Monroe 1100,-34.5723,-58.421,3728,Del Libertador Av.,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
2465762ee92e8e0d05638f5594c496971baa5b7f,2017-09-03,rent,Departamento,-34.6177194,-58.3620561,3200.0,130,121.0,3,,Amplio Living Comedor- Dos dormitorios en Suite- El principal Master suite con vestidor e Hidro- Toilette de recepcion- Cocina con comedor diario. Lavadero - Balcon terraza-  Cochera fija Cubierta- ,Excelente 3 ambtes.Torre sur. Dorm en suite. 130 mts cbtos.Cochera fija,-34.5895,-58.3969,1690,Azcuenaga,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
77484b99ca78bee38a903de185913d71fd7dd855,2017-11-16,rent,Departamento,-34.6130072,-58.360158,3200.0,160,145.0,3,,"Hermoso departamento en alquiler de 3 ambientes con inmejorable vista con dos habitaciones suite, toilette, 1 cocheraExpensas:$18000 Conserjería 24 hs. Vigilancia 24 hs. Amenities de lujo:Amplia piscina cubierta, Piscina descubierta climatizada, Solarium, Cancha de tenis, Salón de fiestas, Salón de usos múltiples, Sala de música, Microcine, Restaurant, Salón Bar, Sector de juegos exteriores, Sala de musculación y fitness con deck exterior, Sala de masajes, sauna seco y húmedo, Peluquería, Guardería infantil. VALOR DE VENTA USD 1.300.000 CON 3 COCHERAS ",VENTA O ALQUILER Château Puerto Madero Residence,-34.5895,-58.3969,1690,Azcuenaga,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
db49436c2b0086fa71a4b2b8fc100af169578698,2017-07-07,rent,Departamento,-34.6094438,-58.3628766,3200.0,140,140.0,3,,"RENOIR 1 Piso Alto AVE 140 m2 Palier Privado con 2 ascensores principales Toilette de recepcion Impactante recepcion semicircular con ventanales con magnifica vista al Rio , reserva y ciudad Comedor Dormitorio Principal en suite con vestidor Segundo Dormitorio en suite Lindisima cocina con comedor diario Lavadero Baño de servicio 1 cochera Se alquila con todos los artefactos de luz , cortinas en todos los ambientes y black out Seguridad 24 hs Piscina cubierta y descubierta , Gym , Spa , Microcine , Gran Salon de Fiesta, Jaula de Golf Valor alquiler mensual : U$3200 + gastos",EXCELENTE ALQUILER RENOIR 1 ,-34.5895,-58.3969,1690,Azcuenaga,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
b1afb5b87128806d42582baf3ae5a112b34cedde,2017-09-16,rent,Departamento,-34.6112439,-58.3605458,4100.0,135,135.0,3,,"DISPONIBLE A PARTIR DE NOVIEMBREIncreible vista al río!! - Todo vista y luz - Amoblamiento y decoración moderna y de categoría - Antigüedad: 7 años - Orientación: noreste - Superficie Total 135 m2  - LIVING / COMEDOR, BALCÓN ATERRAZADO, TOILETTE, 2 SUITES, 1 COCHERA FIJA, SEG. 24 HS, AMENITIESPosibilidad alquiler temporario ALQUILER: u$4100 paquete, amoblado Y euipadoU$ 4600 paquete mas serviciosadmite temporarioPalier privado - Hall 3 x 1,5 - Living/comedor 9,8 x 4,5 con Aire Acond Split y salida a balcón - Balcón con deck 4 x 2,5 - Toilette y placard de recepción - 1er. Dormitorio 5,5 x 4 (suite con hidro, box de ducha y vestidor 3 x 2,5) con Aire Acond Split - 2do. Dormitorio 4,2 x 4 (suite con vestidor) con Aire Acond Split - 2 Baños completos (los 2 en suite) - Cocina 6,5 x 2,5 con zona de breakfast 2,5 x 2,5 con Aire Acond Split - Lavadero incorporado 2,5 x 2 con cortina tipo blackout para independizarlo - Doble circulación con gran placard de pasillo - Puerta de servicio - 1 COCHERA fija - Cocheras de cortesía - Nro. de pisos: 41 - Deptos por piso: 4 - Tipo de piso: alfombra de yute importada - 2 Ascensores para la planta - Grupo electrógeno - Servicios Centrales -      Calefacción: losa radiante     Agua caliente: central - Seguridad 24 hs - Amenities: 2 grandes piletas con sector de niños, juegos para niños, SUM, salón para niños, gym, saunas, duchas escocesas, sala de relax - Laundry - ",Torre PARQUE - Complejo LE PARC PUERTO MADERO -  Azucena Villaflor 550,-34.463828,-58.51355,599,Chile,Buenos Aires,San Isidro,2
c784da25b89af313b69616ebe6fbab51c7fb2770,2017-07-07,rent,Departamento,-34.5776471,-58.4060644,9750.0,595,280.0,4,,Torre GellyPenthouse de 4 amb3 dormitorios en suiteToilette de recepción Cocina dependencia 280m2 cubiertosTerraza con parrilla de 315m2Las mejores vistas de Buenos AiresEdifficio Full amenitiesCochera opcional U$S1000,Tore Gelly Alquiler amueblado y equipado 4 amb con terraza propia,-34.4940833,-58.4843995,3801,Avenida del Libertador,Buenos Aires,Vicente López,2
908cf7823a617116a55df06e79b9e35ca3b6f2d5,2017-10-09,rent,Departamento,-34.6045656,-58.3642063,5900.0,212,185.0,3,,"Departamento en edificio Madero Center de 208 m2 con baulera, dos cocheras y dependencia de servicio. Incluido en el precio expensas, ABL y cocheras.",Departamento en Puerto Madero,-34.592,-58.3786,1320,Esmeralda,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
9e8b1efa953219b70463701f8c1dd5bcec35fe2c,2017-06-10,rent,Departamento,-34.6032495,-58.3645893,5900.0,214,200.0,3,,Las fotos son ilustrativas.Excelente unidad 2 Master Suite + depenendencia y 2 cocheras. EL PRECIO PUEDE SERPAQUETE INCLUYE EXPENSAS Y ABL.COCHERAS NO INCLUIDAS u$s 200 C/U.-COMPLEJO MAXIMA SEGURIDAD FULL AMENITIES. UNICOSolo para exigentes que buscan un lugar cómodo en la mejor zona de Buenos Aires.Visitalo y enamorate!,MADERO CENTER El mejor 3 amb (2 Master Suite con Dependenci) puerto madero con Toilete. 208m2   2 cocheras,-34.564377,-58.4465,1901,Virrey Loreto,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
6f2a34e8f0949774c80997e8b1002a4cbdf7bbab,2017-06-10,rent,Departamento,-34.6032495,-58.3645893,5900.0,208,200.0,3,,Las fotos son ilustrativas.Excelente unidad 2 Master Suite + depenendencia y 2 cocheras. EL PRECIO PUEDE SERPAQUETE INCLUYE EXPENSAS Y  MAXIMA SEGURIDAD FULL AMENITIES. UNICOSolo para exigentes que buscan un lugar cómodo en la mejor zona de Buenos Aires.Visitalo y enamorate!,MADERO CENTER El mejor 3 amb (2 Master Suite con Dependenci) puerto madero con Toilete. 208m2   2 cocheras,-34.614,-58.3915,420,Entre Rios Av.,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
4b20373d9d4c01c3571755463c1fc18b798ee686,2017-10-26,rent,Departamento,-38.0010416,-57.5481675,92.25,40,,2,,ALQUILER TEMPORADA VERANO 2018. CORDOBA Y BELGRANO. 2 AMBIENTES A LA CALLE. PARA 4 PERSONAS. COCINA SEPARADA Y BAÑO COMPLETO.LIVING CON SOFA CAMA Y FOUTON. DIVISIÓN. LCD CON DIRECTV Y VENTILADOR. DORMITORIO CON CAMA DE 2 PLAZAS. COCINA CON MICROONDAS Y HELADERA CON FREEZER. BAÑO COMPLETO. A 2 CUADRAS DE LA PEATONAL SAN MARTÍN.CONSULTE PRECIO SEMANA-QUINCENA-MES-WHATSAPP 223 5 491 702,DEPARTAMENTO 2 AMBIENTES EN ALQUILER TEMPORADA MAR DEL PLATA,-34.5643,-58.4463,1507,11 De Septiembre De 1888,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
00895886be0b38b8d4ea92850dad5cf235a81b0e,2017-07-05,rent,Departamento,-34.6094606,-58.366219,3850.0,240,230.0,5,,"Ofrecemos en Alquiler un inmaculado Departamento en la zona de Puerto Madero con vista impactante hacia el Dique y hacia el puente de la mujer. Son 250 m2 totales distribuidos en 3 plantas de la siguiente manera:Piso 3Amplia y cómoda cocina, living comedor, comedor, recepción, balcón, toilette y una hermosa vista hacia el dique. Piso 4Habitación en suite con hermoso balcón privado con vista hacia el dique y puente de la mujer, baño completo. Cajas fuertes con espacio de guardado. Segundo cuarto con baño en Suite también.Piso 5Cuenta con una tercera habitación y 1 entre piso con vista la Suite presidencial, todos los ambientes cuentan con mucha luminosidad. Cuenta con Aire frío calor, caldera individual, central telefónica, cajas fuertes con espacio de guardado, doble cochera, 3 bauleras, gimnasio y spa con pileta cerrada. Seguridad las 24 horas del día.  Aclaración: Actualmente se encuentra con las divisiones desmontables ya que se alquiló como oficina, pero es un muy cómodo departamento, bien distribuidos, funcional, con muy buena vista y luminosidad. Ideal embajada, empresario, extranjero, contrato mínimo 3 años. Importante: Las medidas, superficies y gastos expuestos en éste sitio son aproximados y están sujetas a cambios por parte de Fauro Negocios Inmobiliarios.",En Alquiler - Departamento - Puerto Madero,-34.5766,-58.4116,3080,Del Libertador Av.,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
f5a579f028e1750faea717d3b4a6b12f95bace33,2017-11-28,rent,Departamento,-34.5913916,-58.3863417,2700.0,122,122.0,4,,"Excelente departamento totalmente reciclado en edificio francés de categoria. Techos altos, luminoso.El precio incluye expensas y ABL.Living, comedor y escritorio o segundo dormitorio, suite principal con vestidor, dos baños, cocina, lavadero, dependencia de servicio.""Las expensas, ABL y Aysa no son exactas y están sujetas a modificaciones""“Las medidas son aproximadas y orientativas. Las medidas exactas surgirían del título de propiedad""“Venta supeditada al cumplimiento por parte del propietario de los requisitos de la Resolución General 2371 de la AFIP.”",Departamento en alquiler en Recoleta,-34.5423,-58.4626,7884,Del Libertador Av.,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
f1424b21ecfe7f7574bccaa877dd6f7f6671879d,2017-10-19,rent,Departamento,-34.5895459,-58.3973636,2700.0,171,171.0,4,,"171 mts. Piso 11 al frente. Palier privado. Hall de 2.5x1. Living apaisado al frente de 7x3.5. Comedor 5x3. Doble circulación. Toilette. Estar de 5x3. 3 dormitorios, suite de 4x3.3 al frente con balcon con cerramiento con doble vidrio, los otros dos dormitorios dan a un contratfrente abierto con mucha luz, uno de 4x4 y otro de 4x3. Baño completo. Cocina de 3x3. Lavadero incorporado. Dependencia y baño de servicio. El precio incluye expensas, ABL y Aysa.Matriculado:Martín LottiCPI 2989",Las Heras y Ayacucho. Precio Paquete. Cochera. Amoblado y Equipado,-34.5913,-58.3795,873,Arroyo,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
9ca01bf4c4564489fb8fbb513a22d15e2f62fa23,2017-11-12,rent,Departamento,-24.779897,-65.403597,417.75,42,42.0,2,,"Corredor Responsable: Pablo Castañeda - C.U.C.I.S. Mat. Nº208Contacto: Alejandro Rodríguez - MLS ID # 251049-228   Alquilo departamento en Zona Shopping, en la Av. Bicentenario al 800 zona de bancos al frente del shopping, este mismo se encuentra en un cuarto piso por ascensor, este mismo cuenta con un living-comedor, cocina integrada con amoblamiento sobre y bajo mesada, pasillo de dsitribucion, un dormitorio con placard, un baño. este mismo cuenta con cochera.  Corredor Responsable: Pablo Castañeda C.U.C.I.S. Mat. Nº208  En cumplimiento de la Ley Provincial 7629, Ley Nacional 25.028, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los agentes NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte de los martilleros y corredores colegiados, cuyos datos se exhiben debajo del nombre de la inmobiliaria. ",Alquilo departamento en Zona Shopping,-34.576,-58.4212,4498,Cervino Av.,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2
